msn;reg;hex_code;deliv;exit;type_text;type_code;airline;airline_country;airline_type;operator;operator_country;MTOW;MZFW;MZFW_Range;MZFW_Payload;MZFW_Fuel;MFW;MFW_Range;MFW_Payload;MFM_Fuel;OEW;OEW_Range;OEW_Payload;OEW_Fuel;Volume;Category;v_max;k_m;contact;num_last_flights;a_margin;b_margin;c_margin;d_margin;current_location_lat;current_location_long;virtual_base_lat;virtual_base_long;acmi_h;charter_focus;fuel_price_kg;co2_price_kg
32607;N7919A;;2020-06-19 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;32.9903858333333;-97.3194405555555;34.828235386629956;-87.03004984759414;2830.739355341168;1;0.65461;0.10112
32608;N5237A;;2020-10-15 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Atlas Air;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.atlasair.com;25;200.0;5.0;-0.65;17.0;39.1757283333333;-76.6689911111111;38.6230273443225;-92.76581662103808;2830.739355341168;1;0.65461;0.10112
32609;SE-RLK;;2020-09-28 00:00:00;;Boeing 737-800 (F);B738;West Atlantic;United Kingdom;Cargo;West Atlantic;United Kingdom;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://westatlantic.eu;25;200.0;5.0;-0.65;17.0;39.4892997742;-0.4816249907;42.75888970135253;2.344124746537275;2830.739355341168;1;0.65461;0.10112
32610;OE-IMD;;2018-11-01 00:00:00;;Boeing 737-800 (BCF);B738;ASL Airlines;Ireland;Cargo;ASL Airlines;Ireland;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.aslaviationholdings.com/companies/asl-airlines-ireland/;25;200.0;5.0;-0.65;17.0;51.8849983215;0.2349999994;51.32162585972308;9.149922530855738;2830.739355341168;1;0.65461;0.10112
32611;N5113A;;2019-04-27 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Atlas Air;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.atlasair.com;25;200.0;5.0;-0.65;17.0;35.378315421302524;-87.8047780844479;35.378315421302524;-87.8047780844479;2830.739355341168;1;0.65461;0.10112
32612;SE-RLL;;2020-09-17 00:00:00;;Boeing 737-800 (F);B738;West Atlantic;United Kingdom;Cargo;West Atlantic;United Kingdom;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://westatlantic.eu;25;200.0;5.0;-0.65;17.0;40.4936;-3.56676;53.849586780084366;-1.4090188726979394;2830.739355341168;1;0.65461;0.10112
32614;N5179A;;2019-06-23 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Atlas Air;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.atlasair.com;25;200.0;5.0;-0.65;17.0;9.9938602448;-84.2088012695;37.18340237843405;-91.55259831675153;2830.739355341168;1;0.65461;0.10112
32615;SE-RLM;;2020-10-12 00:00:00;;Boeing 737-800 (F);B738;FedEx;United States;Cargo;West Atlantic Sweden;Sweden;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://westatlantic.eu;25;200.0;5.0;-0.65;17.0;40.898601532;29.3092002869;46.00365678792061;14.725798212298145;2830.739355341168;1;0.65461;0.10112
32663;N5167A;;2019-07-08 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Atlas Air;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.atlasair.com;25;200.0;5.0;-0.65;17.0;39.0488375;-84.6678208333333;36.99404868951648;-90.86098232264118;2830.739355341168;1;0.65461;0.10112
32687;B-221L;;2022-01-26 00:00:00;;Boeing 737-800 (BCF);B738;JD Airlines;China;Cargo;JD Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.jdairlines.com/home;25;200.0;5.0;-0.65;17.0;30.2294998169;120.4339981079;26.725121302619097;116.8648859579769;2830.739355341168;1;0.65461;0.10112
32689;B-221Q;;2022-07-19 00:00:00;;Boeing 737-800 (BCF);B738;JD Airlines;China;Cargo;JD Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.jdairlines.com/home;25;200.0;5.0;-0.65;17.0;32.0708007812;120.975997925;32.89977514175439;118.1958547085299;2830.739355341168;1;0.65461;0.10112
32691;PK-MYI;;2022-07-29 00:00:00;;Boeing 737-800 (BCF);B738;My Indo Airlines;Indonesia;Cargo;My Indo Airlines;Indonesia;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.myindoairlines.com;25;200.0;5.0;-0.65;17.0;1.4846999645;110.3470001221;10.192545205513444;113.735928640796;2830.739355341168;1;0.65461;0.10112
32694;B-223J;;2023-04-03 00:00:00;;Boeing 737-800 (BCF);B738;AerCap;Netherlands;Cargo;Central Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;http://www.zzairlines.com/en/en.html;25;200.0;5.0;-0.65;17.0;7.1255202293;125.6460037231;17.530634175547124;118.25922643151574;2830.739355341168;1;0.65461;0.10112
32739;N7949A;;2020-06-29 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;45.5887088611111;-122.596869416667;38.061609950683575;-93.43467988155614;2830.739355341168;1;0.65461;0.10112
32740;G-NPTA;;2018-04-15 00:00:00;;Boeing 737-800 (F);B738;West Atlantic;United Kingdom;Cargo;West Atlantic;United Kingdom;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://westatlantic.eu;25;200.0;5.0;-0.65;17.0;54.6575012207;-6.2158298492;53.493324296326534;-3.0365093730990074;2830.739355341168;1;0.65461;0.10112
